# x,PDF_up
1.000000000000000021e-03,2.439280937822939865e+00
1.072267222010323115e-03,2.351577188580026512e+00
1.149756995397735633e-03,2.267062280744078340e+00
1.232846739442065853e-03,2.185645291825421666e+00
1.321941148466028622e-03,2.107229833681074638e+00
1.417474162926804808e-03,2.031710195533234398e+00
1.519911082952933243e-03,1.958884739111735662e+00
1.629750834620643553e-03,1.888494566868164082e+00
1.747528400007682938e-03,1.820313334912973202e+00
1.873817422860383055e-03,1.754341327381652160e+00
2.009233002565048026e-03,1.690673201525670022e+00
2.154434690031884272e-03,1.629377761604006158e+00
2.310129700083160455e-03,1.570404557494687214e+00
2.477076355991711300e-03,1.513669183761411796e+00
2.656087782946686768e-03,1.459093386769977352e+00
2.848035868435802066e-03,1.406617912695295569e+00
3.053855508833415357e-03,1.356187146051288650e+00
3.274549162877728528e-03,1.307742596715920191e+00
3.511191734215130845e-03,1.261219664921681582e+00
3.764935806792467539e-03,1.216552929580554832e+00
4.037017258596553408e-03,1.173674812842631310e+00
4.328761281083057418e-03,1.132514520565319538e+00
4.641588833612782412e-03,1.093000407471607982e+00
4.977023564332113716e-03,1.055045797518955553e+00
5.336699231206312212e-03,1.018548106770240658e+00
5.722367659350220161e-03,9.834084790730648340e-01
6.135907273413176120e-03,9.495930129636930284e-01
6.579332246575681983e-03,9.171166774329618798e-01
7.054802310718645032e-03,8.859909691632221751e-01
7.564633275546290940e-03,8.561852684731744434e-01
8.111308307896872294e-03,8.276466144184952967e-01
8.697490026177834635e-03,8.003233878174502713e-01
9.326033468832199691e-03,7.741731555210398241e-01
1.000000000000000021e-02,7.491568620166219050e-01
1.072267222010323158e-02,7.252347465313849773e-01
1.149756995397735633e-02,7.023642063690361814e-01
1.232846739442065853e-02,6.805019291919237601e-01
1.321941148466029316e-02,6.596051457495191173e-01
1.417474162926805545e-02,6.396325637854965995e-01
1.519911082952933937e-02,6.205431487762625986e-01
1.629750834620644420e-02,6.022968481476013158e-01
1.747528400007683849e-02,5.848554604628637410e-01
1.873817422860384052e-02,5.681809516090167156e-01
2.009233002565046985e-02,5.522337414839421088e-01
2.154434690031884619e-02,5.369721951748613886e-01
2.310129700083160542e-02,5.223546406523390528e-01
2.477076355991711387e-02,5.083415909516764142e-01
2.656087782946686682e-02,4.948956236900940442e-01
2.848035868435801893e-02,4.819792416176401084e-01
3.053855508833415444e-02,4.695530383917728146e-01
3.274549162877728181e-02,4.575763274773677058e-01
3.511191734215130672e-02,4.460083040491329420e-01
3.764935806792467365e-02,4.348074232244472093e-01
4.037017258596555663e-02,4.239317919154229619e-01
4.328761281083059326e-02,4.133393213972760272e-01
4.641588833612779463e-02,4.029869165435389644e-01
4.977023564332111460e-02,3.928311561402396679e-01
5.336699231206309957e-02,3.828271749262746604e-01
5.722367659350217212e-02,3.729250370137592863e-01
6.135907273413172824e-02,3.630737065547836595e-01
6.579332246575682330e-02,3.532259495302366714e-01
7.054802310718645553e-02,3.433436616335143743e-01
7.564633275546291113e-02,3.333900491524400822e-01
8.111308307896872294e-02,3.233259498579699187e-01
8.697490026177834288e-02,3.131082335003457784e-01
9.326033468832199691e-02,3.026938711535426818e-01
1.000000000000000056e-01,2.920551595890720220e-01
1.072267222010323123e-01,2.811751384897346329e-01
1.149756995397735598e-01,2.700098354602220585e-01
1.232846739442065853e-01,2.585357650479011005e-01
1.321941148466028726e-01,2.467460195793214073e-01
1.417474162926804782e-01,2.346254794874109983e-01
1.519911082952933035e-01,2.221711331302161085e-01
1.629750834620645183e-01,2.094125580117527363e-01
1.747528400007684890e-01,1.963515699431710726e-01
1.873817422860384885e-01,1.830283874338309580e-01
2.009233002565047888e-01,1.694566394990937586e-01
2.154434690031884481e-01,1.557085293605535992e-01
2.310129700083160265e-01,1.418635140672746264e-01
2.477076355991711387e-01,1.279973636105982138e-01
2.656087782946686682e-01,1.142058057286229472e-01
2.848035868435802032e-01,1.006082134775797970e-01
3.053855508833415722e-01,8.734046581785030738e-02
3.274549162877728459e-01,7.454447321948901028e-02
3.511191734215131088e-01,6.238297767446390751e-02
3.764935806792467643e-01,5.101717030129618302e-02
4.037017258596553582e-01,4.060565561141423613e-02
4.328761281083057244e-01,3.127329789085470102e-02
4.641588833612781961e-01,2.316429040642952603e-02
4.977023564332113681e-01,1.636061865731435958e-02
5.336699231206312177e-01,1.089443015607310418e-02
5.722367659350220404e-01,6.733447984996366632e-03
6.135907273413175878e-01,3.783388734173095524e-03
6.579332246575682053e-01,1.869334408552098242e-03
7.054802310718645275e-01,7.749426209777076583e-04
7.564633275546290836e-01,2.484255210046465239e-04
8.111308307896872849e-01,5.344569605887782731e-05
8.697490026177834288e-01,5.740132950389785706e-06
9.326033468832198858e-01,1.527723731966921308e-07
1.000000000000000000e+00,0.000000000000000000e+00
